57.899	440.25
57.999	438.75
58.099	438.75
58.199	438
58.299	437.25
58.399	436.5
58.499	436.5
58.599	435.75
58.699	435
58.799	435
58.899	435
58.999	433.5
59.099	433.5
59.199	432.75
59.299	432.75
59.4	432
59.499	431.25
59.599	431.25
59.699	430.5
59.799	429.75
59.899	429.75
59.999	429
60.099	428.25
60.199	428.25
60.299	426.75
60.399	426.75
60.499	426
60.599	426
60.699	425.25
60.799	424.5
60.899	423.75
60.999	423.75
61.099	423
61.199	422.25
61.299	421.5
61.399	421.5
61.501	420.75
61.599	420
61.699	420
61.799	420
61.899	419.25
61.999	418.5
62.099	417.75
62.199	417.75
62.299	417
62.399	416.25
62.499	416.25
62.599	416.25
62.699	414.75
62.799	414
62.899	414
62.999	413.25
63.099	413.25
63.199	412.5
63.299	412.5
63.399	411
63.5	411
63.6	410.25
63.7	409.5
63.8	409.5
63.9	409.5
64	408.75
64.1	408
64.2	407.25
64.3	407.25
64.4	407.25
64.5	406.5
64.6	405.75
64.7	405
64.8	405
64.9	404.25
65	404.25
65.1	403.5
65.2	402.75
65.3	402.75
65.401	402
65.5	401.25
65.6	401.25
65.7	400.5
65.8	400.5
65.9	399
66	399
66.1	399
66.2	398.25
66.3	397.5
66.4	397.5
66.5	396.75
66.6	396.75
66.7	396
66.8	395.25
66.9	394.5
67	393.75
67.1	393.75
67.2	393
67.3	393
67.4	392.25
67.5	392.25
67.6	391.5
67.7	390.75
67.8	390.75
67.9	390
68	390
68.1	388.5
68.2	388.5
68.3	388.5
68.4	387.75
68.5	387.75
68.6	387
68.7	386.25
68.8	386.25
68.9	385.5
69	384.75
69.1	384.75
69.2	384
69.3	384
69.4	383.25
69.5	383.25
69.6	382.5
69.7	381.75
69.8	381.75
69.9	381
70	381
70.1	380.25
70.2	379.5
70.3	379.5
70.4	378
70.5	378
70.6	378
70.7	378
70.8	377.25
70.9	376.5
71	376.5
71.1	375.75
71.2	375
71.3	375
71.4	374.25
71.5	373.5
71.6	373.5
71.7	372.75
71.8	372.75
71.9	372
72.001	372
72.1	371.25
72.2	370.5
72.3	370.5
72.4	369.75
72.5	369.75
72.6	369
72.7	368.25
72.8	368.25
72.9	367.5
73	367.5
73.1	366.75
73.2	366
73.3	366
73.4	365.25
73.5	365.25
73.6	365.25
73.7	364.5
73.8	363.75
73.9	363
74	363
74.1	363
74.2	362.25
74.299	362.25
74.399	361.5
74.499	360.75
74.599	360
74.699	360.75
74.799	360
74.899	359.25
74.999	359.25
75.099	358.5
75.199	358.5
75.299	357.75
75.4	357
75.499	357
75.599	356.25
75.699	355.5
75.799	355.5
75.899	355.5
76	354.75
76.099	354
76.199	354
76.299	354
76.399	353.25
76.499	353.25
76.599	352.5
76.699	352.5
76.799	351.75
76.899	351
76.999	351
77.099	350.25
77.199	349.5
77.299	349.5
77.399	349.5
77.499	348.75
77.599	348.75
77.699	348
77.799	347.25
77.899	346.5
78	347.25
78.099	346.5
78.199	345.75
78.299	345.75
78.399	345
78.499	345
78.599	344.25
78.699	343.5
78.799	343.5
78.899	343.5
78.999	342.75
79.099	342.75
79.199	342
79.299	342
79.399	341.25
79.499	341.25
79.599	340.5
79.699	340.5
79.799	339.75
79.899	339
79.999	339
80.099	339
80.199	338.25
80.299	338.25
80.399	337.5
80.499	337.5
80.599	336.75
80.7	336
80.8	336
80.9	336
81	336
81.1	335.25
81.2	334.5
81.3	334.5
81.4	334.5
81.5	333.75
81.6	333.75
81.7	333
81.8	333
81.9	332.25
82	332.25
82.1	331.5
82.2	331.5
82.3	330.75
82.4	330.75
82.5	330
82.6	330
82.7	329.25
82.8	328.5
82.9	328.5
83	328.5
83.1	327.75
83.2	327
83.3	327
83.4	327
83.5	326.25
83.6	326.25
83.7	325.5
83.8	324.75
83.9	324.75
84	324
84.1	324
84.2	323.25
84.3	323.25
84.4	322.5
84.5	322.5
84.6	322.5
84.7	321.75
84.8	321.75
84.9	321
85	321
85.1	321
85.2	320.25
85.3	320.25
85.4	319.5
85.499	318.75
85.6	318.75
85.7	318
85.8	318
85.9	317.25
86	317.25
86.1	317.25
86.2	316.5
86.3	316.5
86.4	315.75
86.5	315.75
86.6	315
86.7	315
86.8	315
86.9	314.25
87	313.5
87.1	313.5
87.2	312.75
87.3	312.75
87.4	312
87.5	312
87.6	312
87.7	312
87.8	311.25
87.9	310.5
88	310.5
88.1	309.75
88.2	309.75
88.3	309.75
88.4	309
88.5	309
88.6	308.25
88.7	308.25
88.8	307.5
88.9	307.5
89	306.75
89.1	306
89.2	306
89.3	306
89.4	305.25
89.5	305.25
89.6	305.25
89.7	304.5
89.8	304.5
89.9	303.75
90	303.75
90.1	303.75
90.2	303
90.3	303
90.4	302.25
90.5	302.25
90.6	301.5
90.7	301.5
90.8	300.75
90.9	300.75
91	300.75
91.1	300
91.2	300
91.3	299.25
91.4	299.25
91.5	299.25
91.6	298.5
91.7	298.5
91.8	297.75
91.9	297.75
91.999	297
92.099	297
92.199	296.25
92.299	296.25
92.399	296.25
92.499	295.5
92.599	295.5
92.699	294.75
92.799	294
92.899	294.75
92.999	294
93.099	294
93.199	293.25
93.3	293.25
93.399	293.25
93.499	292.5
93.599	292.5
93.699	291.75
93.799	291.75
93.899	291
93.999	291.75
94.099	291
94.2	290.25
94.299	290.25
94.399	290.25
94.499	289.5
94.599	289.5
94.699	289.5
94.799	288.75
94.899	288.75
94.999	288
95.099	288
95.199	288
95.299	287.25
95.399	287.25
95.499	286.5
95.599	286.5
95.699	286.5
95.799	285.75
95.899	285.75
95.999	285.75
96.099	285
96.199	285
96.299	285
96.399	284.25
96.499	284.25
96.599	283.5
96.699	283.5
96.799	283.5
96.899	282.75
96.999	282
97.099	282.75
97.199	282
97.299	281.25
97.399	282
97.499	281.25
97.599	281.25
97.699	280.5
97.799	280.5
97.9	279.75
98	279.75
98.1	279.75
98.2	279
98.3	278.25
98.4	278.25
98.5	278.25
98.6	277.5
98.7	277.5
98.8	276.75
98.9	276.75
99	276.75
99.1	276
99.2	276
99.3	276
99.4	275.25
99.5	275.25
